0.05	0.001	25	1
0.05	0.001	25	2
0.05	0.001	25	3
0.05	0.001	25	4
0.05	0.001	25	5
0.05	0.001	25	6
0.05	0.001	25	7
0.05	0.001	25	8
0.05	0.001	25	9
0.05	0.001	25	10
0.05	0.001	25	11
0.05	0.001	25	12
0.05	0.001	25	13
0.05	0.001	25	14
0.05	0.001	25	15
0.05	0.001	25	16
0.05	0.001	25	17
0.05	0.001	25	18
0.05	0.001	25	19
0.05	0.001	25	20
0.05	0.001	25	21
0.05	0.001	25	22
0.05	0.001	25	23
0.05	0.001	25	24
0.05	0.001	25	25
0.05	0.001	25	26
0.05	0.001	25	27
0.05	0.001	25	28
0.05	0.001	25	29
0.05	0.001	25	30
0.05	0.001	25	31
0.05	0.001	25	32
0.05	0.001	25	33
0.05	0.001	25	34
0.05	0.001	25	35
0.05	0.001	25	36
0.05	0.001	25	37
0.05	0.001	25	38
0.05	0.001	25	39
0.05	0.001	25	40
0.05	0.001	25	41
0.05	0.001	25	42
0.05	0.001	25	43
0.05	0.001	25	44
0.05	0.001	25	45
0.05	0.001	25	46
0.05	0.001	25	47
0.05	0.001	25	48
0.05	0.001	25	49
0.05	0.001	25	50
0.05	0.001	50	1
0.05	0.001	50	2
0.05	0.001	50	3
0.05	0.001	50	4
0.05	0.001	50	5
0.05	0.001	50	6
0.05	0.001	50	7
0.05	0.001	50	8
0.05	0.001	50	9
0.05	0.001	50	10
0.05	0.001	50	11
0.05	0.001	50	12
0.05	0.001	50	13
0.05	0.001	50	14
0.05	0.001	50	15
0.05	0.001	50	16
0.05	0.001	50	17
0.05	0.001	50	18
0.05	0.001	50	19
0.05	0.001	50	20
0.05	0.001	50	21
0.05	0.001	50	22
0.05	0.001	50	23
0.05	0.001	50	24
0.05	0.001	50	25
0.05	0.001	50	26
0.05	0.001	50	27
0.05	0.001	50	28
0.05	0.001	50	29
0.05	0.001	50	30
0.05	0.001	50	31
0.05	0.001	50	32
0.05	0.001	50	33
0.05	0.001	50	34
0.05	0.001	50	35
0.05	0.001	50	36
0.05	0.001	50	37
0.05	0.001	50	38
0.05	0.001	50	39
0.05	0.001	50	40
0.05	0.001	50	41
0.05	0.001	50	42
0.05	0.001	50	43
0.05	0.001	50	44
0.05	0.001	50	45
0.05	0.001	50	46
0.05	0.001	50	47
0.05	0.001	50	48
0.05	0.001	50	49
0.05	0.001	50	50
0.05	0.001	75	1
0.05	0.001	75	2
0.05	0.001	75	3
0.05	0.001	75	4
0.05	0.001	75	5
0.05	0.001	75	6
0.05	0.001	75	7
0.05	0.001	75	8
0.05	0.001	75	9
0.05	0.001	75	10
0.05	0.001	75	11
0.05	0.001	75	12
0.05	0.001	75	13
0.05	0.001	75	14
0.05	0.001	75	15
0.05	0.001	75	16
0.05	0.001	75	17
0.05	0.001	75	18
0.05	0.001	75	19
0.05	0.001	75	20
0.05	0.001	75	21
0.05	0.001	75	22
0.05	0.001	75	23
0.05	0.001	75	24
0.05	0.001	75	25
0.05	0.001	75	26
0.05	0.001	75	27
0.05	0.001	75	28
0.05	0.001	75	29
0.05	0.001	75	30
0.05	0.001	75	31
0.05	0.001	75	32
0.05	0.001	75	33
0.05	0.001	75	34
0.05	0.001	75	35
0.05	0.001	75	36
0.05	0.001	75	37
0.05	0.001	75	38
0.05	0.001	75	39
0.05	0.001	75	40
0.05	0.001	75	41
0.05	0.001	75	42
0.05	0.001	75	43
0.05	0.001	75	44
0.05	0.001	75	45
0.05	0.001	75	46
0.05	0.001	75	47
0.05	0.001	75	48
0.05	0.001	75	49
0.05	0.001	75	50
0.05	0.001	100	1
0.05	0.001	100	2
0.05	0.001	100	3
0.05	0.001	100	4
0.05	0.001	100	5
0.05	0.001	100	6
0.05	0.001	100	7
0.05	0.001	100	8
0.05	0.001	100	9
0.05	0.001	100	10
0.05	0.001	100	11
0.05	0.001	100	12
0.05	0.001	100	13
0.05	0.001	100	14
0.05	0.001	100	15
0.05	0.001	100	16
0.05	0.001	100	17
0.05	0.001	100	18
0.05	0.001	100	19
0.05	0.001	100	20
0.05	0.001	100	21
0.05	0.001	100	22
0.05	0.001	100	23
0.05	0.001	100	24
0.05	0.001	100	25
0.05	0.001	100	26
0.05	0.001	100	27
0.05	0.001	100	28
0.05	0.001	100	29
0.05	0.001	100	30
0.05	0.001	100	31
0.05	0.001	100	32
0.05	0.001	100	33
0.05	0.001	100	34
0.05	0.001	100	35
0.05	0.001	100	36
0.05	0.001	100	37
0.05	0.001	100	38
0.05	0.001	100	39
0.05	0.001	100	40
0.05	0.001	100	41
0.05	0.001	100	42
0.05	0.001	100	43
0.05	0.001	100	44
0.05	0.001	100	45
0.05	0.001	100	46
0.05	0.001	100	47
0.05	0.001	100	48
0.05	0.001	100	49
0.05	0.001	100	50
0.05	0.01	25	1
0.05	0.01	25	2
0.05	0.01	25	3
0.05	0.01	25	4
0.05	0.01	25	5
0.05	0.01	25	6
0.05	0.01	25	7
0.05	0.01	25	8
0.05	0.01	25	9
0.05	0.01	25	10
0.05	0.01	25	11
0.05	0.01	25	12
0.05	0.01	25	13
0.05	0.01	25	14
0.05	0.01	25	15
0.05	0.01	25	16
0.05	0.01	25	17
0.05	0.01	25	18
0.05	0.01	25	19
0.05	0.01	25	20
0.05	0.01	25	21
0.05	0.01	25	22
0.05	0.01	25	23
0.05	0.01	25	24
0.05	0.01	25	25
0.05	0.01	25	26
0.05	0.01	25	27
0.05	0.01	25	28
0.05	0.01	25	29
0.05	0.01	25	30
0.05	0.01	25	31
0.05	0.01	25	32
0.05	0.01	25	33
0.05	0.01	25	34
0.05	0.01	25	35
0.05	0.01	25	36
0.05	0.01	25	37
0.05	0.01	25	38
0.05	0.01	25	39
0.05	0.01	25	40
0.05	0.01	25	41
0.05	0.01	25	42
0.05	0.01	25	43
0.05	0.01	25	44
0.05	0.01	25	45
0.05	0.01	25	46
0.05	0.01	25	47
0.05	0.01	25	48
0.05	0.01	25	49
0.05	0.01	25	50
0.05	0.01	50	1
0.05	0.01	50	2
0.05	0.01	50	3
0.05	0.01	50	4
0.05	0.01	50	5
0.05	0.01	50	6
0.05	0.01	50	7
0.05	0.01	50	8
0.05	0.01	50	9
0.05	0.01	50	10
0.05	0.01	50	11
0.05	0.01	50	12
0.05	0.01	50	13
0.05	0.01	50	14
0.05	0.01	50	15
0.05	0.01	50	16
0.05	0.01	50	17
0.05	0.01	50	18
0.05	0.01	50	19
0.05	0.01	50	20
0.05	0.01	50	21
0.05	0.01	50	22
0.05	0.01	50	23
0.05	0.01	50	24
0.05	0.01	50	25
0.05	0.01	50	26
0.05	0.01	50	27
0.05	0.01	50	28
0.05	0.01	50	29
0.05	0.01	50	30
0.05	0.01	50	31
0.05	0.01	50	32
0.05	0.01	50	33
0.05	0.01	50	34
0.05	0.01	50	35
0.05	0.01	50	36
0.05	0.01	50	37
0.05	0.01	50	38
0.05	0.01	50	39
0.05	0.01	50	40
0.05	0.01	50	41
0.05	0.01	50	42
0.05	0.01	50	43
0.05	0.01	50	44
0.05	0.01	50	45
0.05	0.01	50	46
0.05	0.01	50	47
0.05	0.01	50	48
0.05	0.01	50	49
0.05	0.01	50	50
0.05	0.01	75	1
0.05	0.01	75	2
0.05	0.01	75	3
0.05	0.01	75	4
0.05	0.01	75	5
0.05	0.01	75	6
0.05	0.01	75	7
0.05	0.01	75	8
0.05	0.01	75	9
0.05	0.01	75	10
0.05	0.01	75	11
0.05	0.01	75	12
0.05	0.01	75	13
0.05	0.01	75	14
0.05	0.01	75	15
0.05	0.01	75	16
0.05	0.01	75	17
0.05	0.01	75	18
0.05	0.01	75	19
0.05	0.01	75	20
0.05	0.01	75	21
0.05	0.01	75	22
0.05	0.01	75	23
0.05	0.01	75	24
0.05	0.01	75	25
0.05	0.01	75	26
0.05	0.01	75	27
0.05	0.01	75	28
0.05	0.01	75	29
0.05	0.01	75	30
0.05	0.01	75	31
0.05	0.01	75	32
0.05	0.01	75	33
0.05	0.01	75	34
0.05	0.01	75	35
0.05	0.01	75	36
0.05	0.01	75	37
0.05	0.01	75	38
0.05	0.01	75	39
0.05	0.01	75	40
0.05	0.01	75	41
0.05	0.01	75	42
0.05	0.01	75	43
0.05	0.01	75	44
0.05	0.01	75	45
0.05	0.01	75	46
0.05	0.01	75	47
0.05	0.01	75	48
0.05	0.01	75	49
0.05	0.01	75	50
0.05	0.01	100	1
